"Marca temporal","¿A qué grupo de edad perteneces?","¿Cuál es tu sexo?","¿Con qué frecuencia compras ropa, calzado o accesorios a lo largo del año? ","¿Cómo realizas normalmente tus compras de moda?","¿Cuál es tu gasto mensual aproximado en moda?","¿Qué redes sociales utilizas habitualmente?","¿Qué marcas de moda ves con más frecuencia en redes sociales?  Selecciona un máximo de 3 opciones   ","¿Cuánto tiempo pasas al día en las redes sociales?","¿Con qué frecuencia consumes contenido relacionado con moda en redes sociales?  ","¿Sigues a influencers o creadores de contenido de moda?  ","Las redes sociales influyen en mis decisiones de compra de moda.  ","He comprado ropa o accesorios después de verlos en redes sociales.  ","Descubro nuevas marcas de moda gracias a las redes sociales.  ","Ver contenido de moda en redes aumenta mis ganas de comprar.  ","A veces compro prendas después de verlas repetidamente en redes sociales, aunque realmente no las necesite. ","Las redes sociales influyen más en mis compras de moda que la publicidad tradicional.","Me atrae comprar prendas que están de moda en ese momento.  ","A veces compro ropa por impulso.","Me influye ver que muchas personas llevan una prenda o una marca concreta.  ","Suelo interesarme por productos o prendas virales en redes sociales.  ","Creo que las redes sociales aceleran la difusión de tendencias de moda.  ","Las redes sociales favorecen un consumo rápido y constante de moda.  ","He comprado prendas por tendencia o por influencia de redes que después apenas he usado.  ","Confío en las recomendaciones de influencers de moda.","Si un creador de contenido me parece auténtico, es más probable que compre lo que recomienda.  ","Creo que muchos influencers recomiendan productos solo por interés comercial.  ","En los últimos 6 meses, ¿has comprado alguna prenda o accesorio por influencia de redes sociales?  ","Si has respondido sí, ¿con qué frecuencia te ocurre?  ","¿Qué marcas te han influido más en alguna compra después de verlas en redes sociales? Selecciona un máximo de 3 opciones","En general, quedo satisfecho/a con las compras de moda que realizo tras ver contenido en redes sociales.  ","Me he arrepentido alguna vez de comprar ropa que había visto previamente en las redes sociales.  ","Seguiré comprando moda influido/a por contenido que vea en redes sociales.  ","Recomendaría comprar productos de moda descubiertos en redes sociales.  "
"2026/03/15 9:28:46 p. m. EET","18 - 28 años","Mujer","4","2","Menos de 30€","Instagram;TikTok","Zara;Shein","4","4","5","3","4","4","5","3","4","4","4","3","3","5","5","3","3","4","4","No","3","Zara;Mango;Otra","5","3","4","3"
"2026/03/15 9:29:16 p. m. EET","18 - 28 años","Mujer","4","2","30 - 60€","Instagram;YouTube","Zara;Shein;Mango","2","4","4","3","2","2","4","3","3","2","4","3","2","4","4","3","4","4","3","Sí","2","Zara;Shein;Mango","4","2","4","4"
"2026/03/15 9:33:53 p. m. EET","18 - 28 años","Mujer","4","1","30 - 60€","Instagram;TikTok","Zara;Shein;Mango","3","3","3","4","3","5","4","4","5","5","3","4","4","5","5","5","2","4","5","Sí","2","Mango","4","5","5","5"
"2026/03/15 9:36:57 p. m. EET","18 - 28 años","Mujer","4","3","61 - 100€","Instagram;TikTok;YouTube","Zara;Mango","2","5","4","5","5","5","5","4","5","5","4","3","4","5","5","4","4","5","4","Sí","4","Zara;Otra","5","2","5","5"
"2026/03/15 9:37:17 p. m. EET","18 - 28 años","Mujer","5","5","Menos de 30€","Instagram;TikTok","Zara;Mango","2","2","1","4","4","2","4","2","4","5","2","3","4","5","5","1","4","4","5","Sí","2","Zara;Mango;Otra","4","1","4","4"
"2026/03/15 9:38:46 p. m. EET","18 - 28 años","Mujer","4","1","Menos de 30€","Instagram;TikTok","Zara;Shein","4","3","4","5","5","5","4","5","5","4","2","3","2","4","4","2","5","5","4","Sí","3","Zara;Shein;Otra","5","1","5","5"
"2026/03/15 9:40:40 p. m. EET","18 - 28 años","Mujer","5","3","101 - 200€","Instagram;TikTok;YouTube;Pinterest;X (Twitter)","Zara;Mango;Otra","3","3","3","5","5","5","5","5","5","3","5","2","3","5","5","5","3","4","5","Sí","3","Zara","3","5","3","5"
"2026/03/15 9:41:44 p. m. EET","18 - 28 años","Mujer","5","3","30 - 60€","Instagram;TikTok;YouTube;Pinterest","Zara;H&M","5","4","4","5","3","5","5","2","5","4","3","1","3","5","5","2","4","5","5","No","","Zara;Massimo Dutti;Otra","3","2","4","5"
"2026/03/15 9:42:25 p. m. EET","18 - 28 años","Mujer","3","5","30 - 60€","Instagram;Pinterest","Zara;Otra","3","5","3","3","2","4","4","3","4","5","5","4","3","5","5","4","3","5","5","No","","Zara;Otra","4","3","3","3"
"2026/03/15 9:43:20 p. m. EET","18 - 28 años","Mujer","4","3","Menos de 30€","Instagram;TikTok;Pinterest;X (Twitter);Otra","Zara;Shein;Otra","5","4","5","5","5","5","5","4","5","5","5","4","5","5","5","5","4","5","5","Sí","3","Zara;Shein;Otra","4","4","5","5"
"2026/03/15 9:45:18 p. m. EET","18 - 28 años","Mujer","3","3","30 - 60€","Instagram;TikTok;X (Twitter)","Shein","1","2","2","3","3","3","2","1","2","3","1","1","2","4","3","1","1","1","5","No","2","Shein","3","2","2","2"
"2026/03/15 9:46:16 p. m. EET","18 - 28 años","Mujer","2","3","61 - 100€","Instagram;TikTok","Zara;Mango;H&M","2","4","2","3","3","4","3","2","2","4","4","2","1","3","3","3","2","1","5","No","","Mango;H&M","2","4","1","1"
"2026/03/15 9:51:50 p. m. EET","18 - 28 años","Mujer","3","5","Menos de 30€","Instagram","Zara;Shein;H&M","3","2","1","3","4","5","5","4","4","1","1","1","1","5","3","1","2","4","4","Sí","1","Zara","4","1","3","3"
"2026/03/15 9:52:13 p. m. EET","18 - 28 años","Mujer","5","5","Menos de 30€","Instagram;TikTok","Zara;Shein","3","1","2","2","3","1","3","1","3","3","2","3","1","5","5","1","3","3","5","No","","Shein","3","3","3","2"
"2026/03/15 9:52:52 p. m. EET","56 años o más","Mujer","4","3","61 - 100€","Instagram;YouTube","Zara;Mango;Massimo Dutti","3","4","3","3","4","3","4","3","4","4","4","2","2","4","4","4","3","4","4","Sí","2","Zara;Mango;Massimo Dutti","3","4","3","3"
"2026/03/15 9:53:02 p. m. EET","45 - 55 años","Mujer","3","4","61 - 100€","Instagram","Zara;Shein;Otra","2","1","4","2","2","3","3","2","3","3","2","3","2","5","5","2","3","3","4","No","","Zara;Otra","3","3","2","2"
"2026/03/15 9:54:23 p. m. EET","18 - 28 años","Hombre","2","4","Menos de 30€","Instagram;TikTok;Otra","Zara;Mango;H&M","3","3","3","5","4","5","3","2","4","3","2","3","3","5","5","2","3","4","4","Sí","2","Zara;Otra","4","2","3","4"
"2026/03/15 9:55:49 p. m. EET","18 - 28 años","Hombre","2","4","Menos de 30€","Instagram;YouTube;X (Twitter)","No me fijo en marcas concretas","3","1","1","1","1","1","1","1","1","1","1","1","1","4","5","1","1","3","3","No","1","Ninguna","1","1","1","1"
"2026/03/15 9:57:16 p. m. EET","18 - 28 años","Hombre","3","4","30 - 60€","Instagram;TikTok;YouTube","No me fijo en marcas concretas","2","1","2","2","2","4","3","3","3","3","2","4","2","4","4","1","2","5","5","No","","Ninguna","3","3","1","3"
"2026/03/15 9:58:14 p. m. EET","18 - 28 años","Mujer","3","2","30 - 60€","Instagram;TikTok;YouTube;X (Twitter)","Zara;Shein;H&M","4","2","2","5","5","5","4","2","5","4","2","3","3","5","5","3","3","4","4","Sí","2","Zara;Shein;H&M","3","3","4","4"
"2026/03/15 9:58:16 p. m. EET","18 - 28 años","Mujer","4","3","30 - 60€","Instagram;TikTok;Pinterest","Zara;Shein;H&M","1","2","4","4","4","3","4","3","5","3","3","2","3","4","5","3","3","5","4","No","","Zara;Shein;Mango","3","3","3","3"
"2026/03/15 9:59:33 p. m. EET","29 - 44 años","Mujer","4","3","30 - 60€","Instagram;YouTube;Pinterest","Zara;Mango;H&M","2","2","2","3","4","4","5","2","5","4","2","2","3","4","3","1","4","5","3","Sí","2","Zara;Mango","3","2","4","4"
"2026/03/15 10:00:27 p. m. EET","18 - 28 años","Mujer","3","2","Menos de 30€","Instagram;TikTok;YouTube","Zara;Shein;Mango","2","3","3","2","2","4","1","1","4","2","1","2","2","4","4","1","2","2","4","No","","Shein","2","2","1","3"
"2026/03/15 10:02:11 p. m. EET","18 - 28 años","Hombre","3","2","30 - 60€","Instagram;YouTube;X (Twitter)","Zara;Shein;Otra","2","2","1","1","2","2","2","1","1","2","2","2","2","4","4","2","1","4","4","No","","Ninguna","3","3","2","3"
"2026/03/15 10:02:44 p. m. EET","56 años o más","Hombre","4","5","61 - 100€","Instagram;TikTok","Zara;No me fijo en marcas concretas","1","1","1","3","2","1","2","1","1","2","3","3","1","3","4","2","2","2","4","No","","Ninguna","2","1","2","2"
"2026/03/15 10:03:54 p. m. EET","18 - 28 años","Mujer","4","2","61 - 100€","Instagram;TikTok;YouTube;Pinterest;X (Twitter)","Zara;Shein;Otra","3","5","4","4","5","4","4","4","5","5","4","4","4","5","5","5","3","4","4","Sí","3","Zara;Shein","3","5","4","4"
"2026/03/15 10:03:56 p. m. EET","18 - 28 años","Mujer","2","4","Menos de 30€","Instagram;TikTok;Pinterest","Zara;Shein","4","4","4","4","3","4","5","1","5","5","1","2","3","5","5","1","2","4","5","No","","Shein","4","3","1","5"
"2026/03/15 10:06:27 p. m. EET","56 años o más","Hombre","3","3","61 - 100€","Instagram;YouTube;Otra","Otra","1","1","1","1","2","1","2","1","1","1","1","2","1","1","2","1","1","1","5","No","","Ninguna","1","1","1","1"
"2026/03/15 10:07:25 p. m. EET","18 - 28 años","Hombre","3","5","Menos de 30€","YouTube","Otra","2","3","2","2","1","4","2","2","4","2","1","1","1","5","5","1","3","4","5","Sí","1","Otra","4","1","3","4"
"2026/03/15 10:09:08 p. m. EET","18 - 28 años","Mujer","1","3","Menos de 30€","Instagram;TikTok;Pinterest","Shein;Otra","4","2","3","4","3","3","5","1","5","3","2","2","2","5","5","2","3","4","4","No","1","Zara;Shein","2","3","3","3"
"2026/03/15 10:16:30 p. m. EET","56 años o más","Mujer","2","5","Menos de 30€","YouTube;Facebook","No me fijo en marcas concretas","1","2","1","1","1","1","3","1","1","3","4","3","1","3","5","1","1","3","5","No","","Ninguna","1","5","1","1"
"2026/03/15 10:19:34 p. m. EET","45 - 55 años","Hombre","1","5","61 - 100€","Instagram","Zara;Mango;Massimo Dutti","1","1","1","1","1","1","1","1","1","2","2","1","1","3","4","1","1","1","1","No","","Massimo Dutti","1","2","1","1"
"2026/03/15 10:25:16 p. m. EET","18 - 28 años","Mujer","5","2","61 - 100€","Instagram;TikTok;Facebook","H&M;Otra","2","4","4","4","4","5","5","4","3","4","5","4","4","4","4","4","4","4","5","Sí","2","Zara;Otra","3","5","4","4"
"2026/03/15 10:27:19 p. m. EET","18 - 28 años","Mujer","3","4","30 - 60€","Instagram;TikTok;Pinterest;X (Twitter)","Zara;Shein;Otra","3","3","3","3","4","4","5","4","5","4","3","3","4","5","5","4","3","3","5","Sí","3","Zara;Shein;Otra","3","5","4","3"
"2026/03/15 10:28:54 p. m. EET","18 - 28 años","Mujer","3","1","30 - 60€","Instagram;YouTube","Zara;Mango;H&M","1","4","4","4","4","4","4","5","5","4","3","2","3","5","5","1","3","4","4","Sí","3","Zara;Mango;H&M","5","1","4","4"
"2026/03/15 10:31:50 p. m. EET","18 - 28 años","Mujer","5","3","61 - 100€","Instagram;TikTok;YouTube;Pinterest","Zara;Shein;Otra","4","4","4","4","4","4","4","1","4","4","1","2","2","4","4","1","4","5","2","Sí","3","Zara;Shein;Otra","4","1","5","5"
"2026/03/15 10:32:33 p. m. EET","56 años o más","Mujer","3","5","Menos de 30€","Instagram;YouTube;Facebook;X (Twitter)","Otra","3","3","2","1","1","5","1","1","1","3","1","1","1","3","4","1","1","1","5","No","","Ninguna","1","1","1","1"
"2026/03/15 10:35:19 p. m. EET","18 - 28 años","Mujer","4","4","Menos de 30€","Instagram","Zara","4","3","1","1","1","4","3","1","3","2","4","3","1","5","5","1","1","1","5","No","","Ninguna","1","1","1","2"
"2026/03/15 10:37:28 p. m. EET","56 años o más","Hombre","2","5","30 - 60€","Instagram;Facebook","Otra","3","2","5","3","1","1","1","1","3","4","5","2","1","5","4","1","4","4","3","No","","Otra","4","1","1","3"
"2026/03/15 10:40:09 p. m. EET","29 - 44 años","Mujer","3","2","Menos de 30€","Instagram;TikTok","Otra","2","2","3","5","5","5","5","2","4","3","2","4","2","5","5","5","3","4","4","Sí","4","Zara;Massimo Dutti;Otra","4","3","4","4"
"2026/03/15 10:41:48 p. m. EET","45 - 55 años","Mujer","3","1","30 - 60€","Instagram;YouTube;Pinterest;Facebook","Zara;Shein;Mango","4","1","5","3","3","5","5","3","3","3","5","5","5","5","5","3","3","3","5","No","","Zara;Otra","3","3","5","5"
"2026/03/15 10:48:05 p. m. EET","18 - 28 años","Hombre","3","5","Menos de 30€","Instagram;YouTube","Otra;No me fijo en marcas concretas","2","1","2","3","3","4","4","4","4","3","2","2","2","1","4","3","3","3","3","Sí","3","Otra;Ninguna","3","3","3","3"
"2026/03/15 10:48:08 p. m. EET","18 - 28 años","Hombre","3","3","30 - 60€","Instagram;TikTok;YouTube","No me fijo en marcas concretas","4","2","1","2","4","1","1","1","1","1","1","1","1","5","5","1","1","5","5","No","","Ninguna","5","1","1","3"
"2026/03/15 10:50:30 p. m. EET","18 - 28 años","Mujer","4","2","61 - 100€","Instagram;TikTok;Pinterest;Facebook","Zara;Shein;Mango","5","3","1","5","5","5","5","5","3","5","5","2","3","5","5","5","4","5","4","Sí","4","Zara;Shein;Mango","4","1","4","4"
"2026/03/15 10:50:40 p. m. EET","18 - 28 años","Mujer","5","4","61 - 100€","Instagram;TikTok;YouTube;Pinterest","Zara","5","5","5","5","5","5","5","4","5","5","3","4","5","5","5","3","3","5","5","Sí","3","Zara","5","4","5","5"
"2026/03/15 10:51:30 p. m. EET","18 - 28 años","Mujer","3","5","61 - 100€","Instagram;TikTok;YouTube;Pinterest","Shein;Otra","2","3","2","5","5","5","3","1","1","5","3","3","4","5","5","4","4","5","5","No","","Shein;Otra","3","4","3","5"
"2026/03/15 10:51:39 p. m. EET","18 - 28 años","Mujer","3","4","Menos de 30€","Instagram;TikTok;Otra","Shein;Otra","2","2","1","2","1","1","1","1","1","1","1","1","1","5","5","1","1","1","5","No","","Shein","2","1","1","1"
"2026/03/15 10:54:42 p. m. EET","18 - 28 años","Mujer","2","5","Menos de 30€","Instagram;X (Twitter)","Zara;Otra","2","1","1","3","1","4","4","1","3","2","3","3","1","5","5","1","3","4","5","No","","Zara;Otra","2","5","1","3"
"2026/03/15 10:55:00 p. m. EET","18 - 28 años","Mujer","3","1","61 - 100€","Instagram;TikTok;Otra","Zara;Shein;Otra","3","1","3","5","5","5","5","3","1","4","2","1","5","5","5","5","5","1","5","Sí","3","Zara;Shein;Otra","5","5","3","5"
"2026/03/15 11:01:32 p. m. EET","18 - 28 años","Mujer","2","1","30 - 60€","Instagram;TikTok;Facebook","Shein","5","3","1","4","3","5","3","3","2","4","4","4","3","4","3","3","2","2","3","No","","Shein;Otra","3","3","3","4"
"2026/03/15 11:03:44 p. m. EET","18 - 28 años","Mujer","4","4","30 - 60€","Instagram;TikTok","Zara;Shein","5","4","3","5","5","4","5","3","5","4","3","4","4","4","5","3","4","3","4","Sí","4","Zara;Shein","4","3","4","4"
"2026/03/15 11:04:06 p. m. EET","18 - 28 años","Hombre","2","5","61 - 100€","Instagram;TikTok;YouTube","Zara;Otra","4","1","1","1","1","3","2","1","3","1","1","1","3","4","5","1","3","4","3","No","","Otra","4","1","2","4"
"2026/03/15 11:08:20 p. m. EET","18 - 28 años","Hombre","2","4","30 - 60€","Instagram;YouTube","Otra","4","4","2","2","1","5","5","1","5","2","1","2","1","5","5","1","3","4","4","No","","Otra","3","1","2","4"
"2026/03/15 11:09:03 p. m. EET","18 - 28 años","Mujer","4","3","61 - 100€","Instagram;TikTok;Facebook","Zara;Shein","5","5","3","5","5","5","5","4","5","5","5","3","5","5","5","5","3","5","5","No","","Zara;Shein","3","5","4","5"
"2026/03/15 11:09:03 p. m. EET","18 - 28 años","Hombre","2","2","Menos de 30€","Instagram;YouTube;X (Twitter)","No me fijo en marcas concretas","2","1","1","2","2","3","2","1","3","2","2","3","2","5","4","1","2","4","4","No","","Ninguna","3","3","1","3"
"2026/03/15 11:11:11 p. m. EET","29 - 44 años","Hombre","3","2","30 - 60€","Instagram;YouTube","No me fijo en marcas concretas","1","2","1","1","2","3","2","2","3","2","2","2","2","4","4","2","1","2","5","No","1","Ninguna","2","2","1","2"
"2026/03/15 11:11:16 p. m. EET","18 - 28 años","Mujer","3","4","30 - 60€","Instagram;TikTok;X (Twitter);Otra","Shein","4","3","3","3","4","5","5","2","5","4","4","4","4","5","4","3","4","5","5","No","","Shein","3","3","4","4"
"2026/03/15 11:12:16 p. m. EET","45 - 55 años","Mujer","3","5","Menos de 30€","Instagram;Facebook","No me fijo en marcas concretas","1","2","1","1","1","1","1","1","1","3","1","2","1","4","3","1","1","1","5","No","","Ninguna","1","1","1","1"
"2026/03/15 11:19:05 p. m. EET","56 años o más","Mujer","2","2","101 - 200€","Instagram","Zara;Massimo Dutti;Otra","1","2","1","1","1","3","2","2","2","2","4","4","3","3","3","4","4","4","4","No","","Zara;Massimo Dutti;Otra","3","4","3","3"
"2026/03/15 11:20:46 p. m. EET","18 - 28 años","Mujer","3","4","30 - 60€","Instagram;TikTok;Pinterest","Zara;H&M","3","5","5","5","5","5","5","5","5","4","4","5","4","5","5","2","5","5","5","Sí","3","Zara;Mango;Massimo Dutti","4","3","5","4"
"2026/03/15 11:24:34 p. m. EET","45 - 55 años","Hombre","2","5","Menos de 30€","Instagram;YouTube","No me fijo en marcas concretas","2","1","1","1","1","1","1","1","1","1","1","1","1","4","4","1","1","3","5","No","","Ninguna","1","1","1","1"
"2026/03/15 11:29:02 p. m. EET","18 - 28 años","Mujer","5","3","30 - 60€","Instagram;TikTok","Zara;Mango;Massimo Dutti","5","4","4","3","4","5","5","3","5","5","4","4","4","5","5","3","4","2","5","Sí","3","Zara;Mango;Massimo Dutti","4","3","4","4"
"2026/03/15 11:33:48 p. m. EET","18 - 28 años","Mujer","3","4","61 - 100€","Instagram;TikTok;YouTube;Pinterest;X (Twitter)","Shein;H&M","4","4","4","4","4","4","5","3","3","4","2","2","3","2","4","2","3","5","4","Sí","3","Zara;Shein;H&M","3","2","4","4"
"2026/03/15 11:34:09 p. m. EET","56 años o más","Mujer","3","5","30 - 60€","Instagram;Facebook","No me fijo en marcas concretas","1","1","1","1","1","2","1","1","1","3","1","2","1","5","5","2","1","1","5","No","","Ninguna","1","1","1","2"
"2026/03/15 11:43:50 p. m. EET","56 años o más","Mujer","5","3","30 - 60€","Instagram;YouTube;Facebook","Zara;Mango;Massimo Dutti","1","2","2","3","3","1","3","3","3","5","1","5","3","1","1","3","3","3","1","Sí","1","Zara;Massimo Dutti;Otra","1","1","3","3"
"2026/03/15 11:44:18 p. m. EET","56 años o más","Hombre","1","5","Menos de 30€","Otra","Massimo Dutti","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","1","1","1","3","No","","Massimo Dutti;Otra","1","2","1","1"
"2026/03/15 11:46:30 p. m. EET","29 - 44 años","Hombre","5","5","30 - 60€","TikTok;YouTube;Pinterest;X (Twitter)","Zara;Shein;Mango","2","2","3","3","3","3","4","4","4","4","4","4","2","3","2","5","4","4","4","Sí","5","Zara;H&M;Massimo Dutti","4","3","3","4"
"2026/03/15 11:50:31 p. m. EET","18 - 28 años","Hombre","3","3","Más de 200€","Instagram;TikTok;YouTube","Otra","4","3","3","4","3","5","4","4","5","4","2","2","3","5","4","3","3","4","5","Sí","2","Otra","4","5","5","4"
"2026/03/15 11:51:06 p. m. EET","56 años o más","Hombre","5","5","Menos de 30€","No utilizo redes sociales","No me fijo en marcas concretas","1","1","1","1","1","1","1","1","1","3","2","1","1","4","4","1","1","1","5","No","","Ninguna","1","1","1","1"
"2026/03/15 11:51:35 p. m. EET","45 - 55 años","Mujer","4","5","Menos de 30€","Instagram;Facebook","No me fijo en marcas concretas","2","2","1","1","2","2","1","1","1","1","2","1","1","5","5","1","1","1","5","No","1","Zara;Mango","3","1","1","1"
"2026/03/15 11:55:06 p. m. EET","18 - 28 años","Mujer","4","4","30 - 60€","Instagram;TikTok","Zara;Shein;Mango","5","4","4","5","5","5","5","4","5","4","5","3","3","5","4","4","4","5","5","Sí","3","Zara;Mango","4","5","4","4"
"2026/03/15 11:57:51 p. m. EET","18 - 28 años","Hombre","3","4","30 - 60€","Instagram;TikTok;YouTube;Pinterest;X (Twitter)","No me fijo en marcas concretas","4","4","2","4","5","4","4","4","5","4","3","4","4","5","5","5","4","4","5","Sí","4","Shein","4","4","4","4"
"2026/03/16 12:00:36 a. m. EET","56 años o más","Hombre","3","1","30 - 60€","Instagram;YouTube;Facebook","Zara;Otra","2","1","1","1","1","1","3","1","1","1","1","3","1","4","3","2","2","3","4","No","1","Zara;Otra","2","2","2","2"
"2026/03/16 12:04:59 a. m. EET","18 - 28 años","Hombre","1","4","Menos de 30€","Instagram;TikTok;YouTube;X (Twitter);Otra","Otra","3","1","1","1","1","1","1","1","1","2","1","2","1","4","4","1","1","1","4","No","","Ninguna","1","1","1","3"
"2026/03/16 12:07:45 a. m. EET","56 años o más","Hombre","3","5","Más de 200€","No utilizo redes sociales","No me fijo en marcas concretas","1","1","1","1","1","1","1","1","1","1","1","1","1","3","3","1","1","1","3","No","","Ninguna","1","1","1","1"
"2026/03/16 12:26:56 a. m. EET","18 - 28 años","Mujer","5","5","30 - 60€","Instagram;TikTok","Zara;No me fijo en marcas concretas","4","4","3","5","5","5","5","4","5","3","3","2","2","5","5","2","3","5","5","Sí","2","Zara;Shein","4","4","5","4"
"2026/03/16 12:31:57 a. m. EET","18 - 28 años","Mujer","2","2","Menos de 30€","Instagram;TikTok;YouTube","Zara;Shein;No me fijo en marcas concretas","3","3","2","4","5","5","5","3","4","5","2","5","5","5","5","2","2","2","5","Sí","3","Shein;Otra","5","2","5","5"
"2026/03/16 12:32:13 a. m. EET","18 - 28 años","Mujer","2","5","30 - 60€","Instagram;YouTube","Zara;H&M","3","2","2","3","2","3","4","2","4","3","3","4","2","5","5","3","4","4","4","Sí","3","Zara;H&M","4","2","4","4"
"2026/03/16 12:32:15 a. m. EET","18 - 28 años","Hombre","2","1","Menos de 30€","Instagram;TikTok","No me fijo en marcas concretas","1","1","2","1","2","3","1","1","3","4","2","3","2","5","5","1","2","4","5","No","","Ninguna","4","1","1","3"
"2026/03/16 12:32:29 a. m. EET","18 - 28 años","Mujer","4","2","30 - 60€","Instagram;TikTok","Zara;Mango;Massimo Dutti","4","5","5","4","5","5","5","5","5","5","5","4","4","5","5","4","3","3","5","Sí","3","Zara;Mango;Massimo Dutti","4","4","4","3"
"2026/03/16 12:34:43 a. m. EET","18 - 28 años","Mujer","5","4","101 - 200€","Instagram;TikTok","Zara;Mango;Otra","4","4","5","5","5","5","5","5","4","5","4","4","4","5","5","5","3","4","4","Sí","3","Zara;Otra","4","3","3","4"
"2026/03/16 12:35:46 a. m. EET","18 - 28 años","Mujer","3","2","30 - 60€","Instagram;TikTok;YouTube","Zara;Shein","3","4","4","4","4","5","5","2","5","4","2","1","2","5","5","1","2","4","5","No","1","Zara;Shein","4","2","1","3"
