_fase,fecha_aprox,marca_o_tendencia,plataforma,tipo_evento,descripcion_evento,fuente,fecha,anio,mes_num
DESPUÉS,2019-12,Y2K,Instagram+TikTok,trend_estetica,La estética Y2K empieza a expandirse en España a través de creadoras de contenido que recuperan prendas y estilos de los años 2000.,Artículos en medios de moda españoles sobre retorno Y2K (2019-2020),2019-12-01,2019.0,12.0
DESPUÉS,2020-03,Moda online,General,impacto_pandemia,El confinamiento por COVID-19 en España provoca el cierre de tiendas físicas y un aumento repentino de las compras de moda a través de e-commerce.,Informes y noticias españolas sobre impacto de la COVID-19 en el comercio minorista (2020),2020-03-01,2020.0,3.0
DESPUÉS,2020-07,Streetwear,TikTok,trend_streetwear,"Perfiles españoles en TikTok comienzan a popularizar outfits de streetwear y looks urbanos, mezclando marcas de fast fashion con zapatillas deportivas.",Contenido de creadores españoles de streetwear en TikTok (2020-2021),2020-07-01,2020.0,7.0
DESPUÉS,2021-03,H&M Conscious,Redes sociales,controversia_greenwashing,"En España aparecen críticas en redes y medios a la línea H&M Conscious, cuestionando la coherencia entre el marketing verde y los materiales utilizados.",Artículos y debates en medios españoles sobre H&M Conscious (2021),2021-03-01,2021.0,3.0
DESPUÉS,2021-06,Shein,TikTok,viral_haul,"Los 'Shein hauls' realizados por creadoras españolas en TikTok acumulan millones de visualizaciones, mostrando grandes pedidos de ropa barata.",Reportajes en medios españoles sobre los hauls de Shein en TikTok (2021),2021-06-01,2021.0,6.0
DESPUÉS,2021-09,Zara,TikTok,viral_haul,"Se popularizan en España los vídeos de 'Zara haul', donde usuarias enseñan sus compras de nueva temporada y prueban distintas tallas y estilos.",Cobertura en medios digitales españoles sobre Zara hauls (2021),2021-09-01,2021.0,9.0
DESPUÉS,2022-02,Choni / trap,TikTok,trend_estetica_urbana,"En el TikTok español se viralizan contenidos que recuperan la estética 'choni' y estilos vinculados al trap y al reguetón, especialmente entre adolescentes.",Artículos y hilos en redes sobre estética choni y trap en España (2022),2022-02-01,2022.0,2.0
DESPUÉS,2022-03,Pija elegante,TikTok+Instagram,trend_estetica,"La estética 'pija elegante' se populariza en España como adaptación local de la estética old money: americanas, camisas blancas, mocasines y bolsos clásicos.",Contenido de creadoras españolas y artículos sobre estética pija elegante (2022),2022-03-01,2022.0,3.0
DESPUÉS,2022-06,Y2K,TikTok,trend_estetica,"Tiendas y creadoras españolas refuerzan la estética Y2K en redes: tops cortos, pantalones de tiro bajo y accesorios dosmileros aparecen en hauls y looks diarios.",Reportajes de moda españoles sobre la consolidación del Y2K (2022),2022-06-01,2022.0,6.0
DESPUÉS,2022-09,Hauls (general),TikTok+Instagram,boom_hauls,"En España el formato haul se convierte en contenido habitual: #haul, #zarahaul y #sheinhaul son etiquetas recurrentes en vídeos de moda.",Análisis de contenido de moda en TikTok España y medios especializados (2022),2022-09-01,2022.0,9.0
DESPUÉS,2023-03,Zara (Join Life),General,cambio_estrategia_sostenibilidad,Se comunica en medios españoles que Inditex reduce el protagonismo de la etiqueta Join Life y traslada los criterios sostenibles al conjunto de la colección.,Noticias económicas y de moda españolas sobre estrategia de sostenibilidad de Inditex (2023),2023-03-01,2023.0,3.0
DESPUÉS,2023-07,Zara,General,coleccion_circular,Se presenta en España una colección de Zara con fibras textiles recicladas colaborando con empresas especializadas en reciclaje textil.,Vogue España y otros medios sobre colecciones circulares de Zara (2023),2023-07-01,2023.0,7.0
DESPUÉS,2023-11,Shein,TikTok,viral_haul,Medios españoles recogen que los hashtags relacionados con Shein hauls en España alcanzan grandes volúmenes de visualizaciones y suscitan debate sobre sobreconsumo.,Reportajes en medios españoles sobre Shein y su impacto en el consumo (2023),2023-11-01,2023.0,11.0
DESPUÉS,2024-04,Slow fashion / segunda mano,TikTok+Instagram,boom_segunda_mano,"Crecen en España los 'thrift hauls' y vídeos de upcycling de prendas en TikTok e Instagram, impulsando la compra de segunda mano entre jóvenes.",Artículos en prensa española sobre auge de la segunda mano y la Generación Z (2024),2024-04-01,2024.0,4.0
DESPUÉS,2025-03,Pija elegante / old money,TikTok,seguimiento_microtendencias,"Trackers de tendencias y medios españoles destacan que estéticas como pija elegante, old money y streetwear conviven en el contenido de moda en TikTok España.","Vogue España, prensa de moda y análisis de tendencias en TikTok España (2024-2025)",2025-03-01,2025.0,3.0
