id_respuesta,grupo_edad,sexo,freq_compra_anual,canal_compra_moda,gasto_mensual_moda,tiempo_rrss_dia,freq_contenido_moda_rrss,sigue_influencers_moda,indice_influencia_rrss,indice_impulso_tendencia,indice_confianza_influencers,indice_escepticismo_influencers,indice_difusion_fastfashion,indice_postcompra,indice_riesgo_arrepentimiento,compra_ult_6m_por_rrss_bin
102,18 - 28 años,Mujer,3,4,30 - 60€,4,3,3,3.2,3.6,2.5,5.0,5.0,3.6666666666666665,4.5,0
103,18 - 28 años,Hombre,4,5,Menos de 30€,3,4,5,1.6,1.8,3.5,5.0,4.5,2.333333333333333,1.0,0
104,18 - 28 años,Mujer,5,4,101 - 200€,3,5,5,5.0,4.2,3.5,5.0,5.0,4.0,4.5,1
105,18 - 28 años,Mujer,4,4,30 - 60€,3,5,5,5.0,4.6,4.5,5.0,5.0,5.0,1.5,1
106,18 - 28 años,Mujer,4,3,30 - 60€,4,2,1,3.6,3.0,2.5,4.0,4.0,3.0,3.0,1
107,56 años o más,Hombre,2,1,30 - 60€,1,1,1,1.2,1.0,1.0,1.0,3.0,1.0,3.0,0
108,18 - 28 años,Mujer,3,3,61 - 100€,2,4,2,4.0,2.8,4.0,4.0,5.0,3.6666666666666665,3.0,1
109,56 años o más,Mujer,1,5,Menos de 30€,1,1,1,1.0,1.0,1.0,5.0,5.0,1.0,1.0,0
110,56 años o más,Hombre,1,5,Menos de 30€,1,1,1,1.0,1.0,1.0,5.0,5.0,1.0,1.0,0
111,18 - 28 años,Hombre,4,1,101 - 200€,2,1,1,3.2,2.6,1.0,5.0,4.0,2.6666666666666665,2.5,0
112,18 - 28 años,Hombre,1,5,Menos de 30€,4,2,1,1.8,1.6,2.5,5.0,5.0,1.6666666666666667,1.5,0
113,18 - 28 años,Mujer,3,5,61 - 100€,4,4,4,3.6,3.8,2.0,5.0,4.0,3.6666666666666665,2.5,0
114,18 - 28 años,Mujer,3,4,Menos de 30€,4,3,2,4.2,3.2,3.5,5.0,5.0,4.0,3.0,1
115,45 - 55 años,Hombre,1,1,Menos de 30€,1,1,1,1.0,1.0,2.0,5.0,5.0,1.0,3.0,0
116,18 - 28 años,Mujer,3,3,61 - 100€,2,4,4,4.2,3.6,3.5,4.0,4.0,3.333333333333333,2.0,0
117,18 - 28 años,Mujer,3,3,30 - 60€,3,3,2,2.6,2.8,3.5,4.0,4.0,3.333333333333333,2.5,1
118,29 - 44 años,Mujer,5,1,30 - 60€,4,2,2,3.8,4.6,5.0,4.0,4.5,4.0,3.5,0
119,18 - 28 años,Hombre,2,4,Menos de 30€,4,1,2,3.2,2.8,3.0,3.0,3.0,3.333333333333333,3.0,0
120,18 - 28 años,Mujer,4,1,30 - 60€,3,4,3,5.0,4.0,4.5,3.0,5.0,4.666666666666667,4.0,1
121,18 - 28 años,Mujer,2,3,Menos de 30€,2,4,4,3.8,1.8,3.5,5.0,5.0,2.6666666666666665,3.5,0
122,18 - 28 años,Hombre,3,3,Menos de 30€,4,5,5,4.8,4.4,4.5,5.0,5.0,3.333333333333333,4.0,1
123,18 - 28 años,Mujer,3,5,30 - 60€,4,3,4,5.0,5.0,3.5,5.0,5.0,4.0,5.0,1
124,18 - 28 años,Hombre,2,4,Menos de 30€,3,1,1,3.8,3.6,2.5,5.0,5.0,3.6666666666666665,2.5,0
125,18 - 28 años,Mujer,3,4,Menos de 30€,4,4,3,4.6,4.2,4.0,4.0,5.0,3.6666666666666665,2.5,1
126,18 - 28 años,Mujer,3,4,Menos de 30€,4,4,4,4.6,2.8,2.5,5.0,5.0,3.333333333333333,3.5,0
127,29 - 44 años,Hombre,5,4,30 - 60€,2,4,4,3.8,1.8,3.5,5.0,5.0,4.0,2.5,0
128,56 años o más,Mujer,5,5,30 - 60€,1,1,1,1.0,1.6,3.0,5.0,5.0,1.6666666666666667,1.0,0
129,45 - 55 años,Mujer,5,4,101 - 200€,2,1,1,2.4,3.0,3.5,5.0,4.0,3.333333333333333,3.0,0
130,45 - 55 años,Hombre,3,1,30 - 60€,3,2,1,2.4,2.2,1.0,2.0,3.0,2.333333333333333,2.0,1
131,18 - 28 años,Hombre,1,5,Menos de 30€,3,1,2,1.8,2.4,1.5,2.0,2.0,2.0,1.0,0
132,29 - 44 años,Mujer,4,3,101 - 200€,2,3,4,3.6,3.6,4.0,4.0,5.0,3.6666666666666665,4.0,1
133,56 años o más,Hombre,1,5,Menos de 30€,2,1,1,2.2,2.0,1.0,5.0,5.0,2.333333333333333,2.0,0
134,45 - 55 años,Mujer,3,4,30 - 60€,3,4,2,3.4,3.4,3.5,4.0,4.0,3.0,2.5,1
135,18 - 28 años,Mujer,5,2,61 - 100€,5,5,5,4.6,4.8,4.5,3.0,5.0,4.0,4.0,1
136,56 años o más,Mujer,5,5,30 - 60€,1,1,2,1.0,1.2,1.0,5.0,3.0,1.0,1.0,0
137,45 - 55 años,Mujer,3,2,30 - 60€,1,3,4,4.4,2.2,1.0,5.0,2.5,3.333333333333333,1.0,1
138,56 años o más,Mujer,3,5,101 - 200€,1,4,2,4.0,3.4,2.5,4.0,3.0,2.333333333333333,1.0,1
139,45 - 55 años,Mujer,5,5,30 - 60€,1,2,3,2.2,2.4,3.5,5.0,5.0,3.0,1.0,0
140,45 - 55 años,Mujer,2,5,Menos de 30€,3,1,1,1.4,1.2,1.0,5.0,5.0,1.0,1.0,0
141,45 - 55 años,Mujer,3,1,30 - 60€,1,1,1,2.0,3.6,3.0,5.0,5.0,3.0,3.5,0
142,45 - 55 años,Hombre,5,3,30 - 60€,1,2,2,2.0,1.6,1.0,3.0,2.0,2.0,2.0,1
143,45 - 55 años,Mujer,4,3,Menos de 30€,2,4,1,4.4,2.2,4.0,5.0,5.0,4.0,4.0,0
144,45 - 55 años,Hombre,3,3,30 - 60€,2,1,1,2.2,2.4,1.0,1.0,4.0,2.0,1.0,0
145,45 - 55 años,Mujer,3,4,61 - 100€,1,1,1,1.4,2.2,2.5,5.0,3.5,2.333333333333333,2.5,0
146,45 - 55 años,Mujer,3,5,Menos de 30€,2,2,2,2.2,1.8,1.5,5.0,4.5,2.333333333333333,1.5,0
147,18 - 28 años,Mujer,2,3,Menos de 30€,2,1,1,2.4,1.2,1.0,1.0,5.0,2.333333333333333,1.0,0
148,56 años o más,Mujer,5,5,30 - 60€,2,4,1,3.8,1.8,2.5,5.0,4.5,2.333333333333333,1.0,0
149,45 - 55 años,Mujer,4,4,61 - 100€,2,3,1,1.8,1.2,1.5,5.0,4.0,1.3333333333333333,1.5,0
150,45 - 55 años,Mujer,5,3,Más de 200€,2,3,5,4.6,3.6,3.5,4.0,4.0,3.0,3.5,1
151,45 - 55 años,Mujer,5,5,61 - 100€,5,4,2,4.4,1.2,4.0,5.0,5.0,3.0,1.0,0
152,45 - 55 años,Hombre,5,3,Más de 200€,2,3,2,1.4,3.0,2.0,2.0,1.5,2.0,1.5,1
153,45 - 55 años,Mujer,5,5,101 - 200€,3,5,5,4.4,3.6,2.0,5.0,5.0,4.0,4.0,1
154,56 años o más,Mujer,5,3,61 - 100€,1,2,1,1.4,2.2,1.0,5.0,5.0,1.3333333333333333,1.0,0
155,45 - 55 años,Mujer,3,5,30 - 60€,1,2,2,3.0,2.0,1.5,5.0,3.0,2.6666666666666665,2.0,0
156,29 - 44 años,Mujer,3,2,61 - 100€,2,4,1,4.2,2.4,2.5,5.0,5.0,3.333333333333333,1.0,0
157,29 - 44 años,Mujer,4,3,30 - 60€,4,2,2,2.8,3.4,3.0,2.0,4.5,3.333333333333333,3.0,0
158,45 - 55 años,Hombre,3,3,30 - 60€,1,2,1,5.0,3.2,1.0,5.0,5.0,3.0,2.0,1
159,29 - 44 años,Hombre,2,2,Menos de 30€,2,1,1,1.6,1.8,3.0,3.0,4.0,3.0,2.0,0
160,29 - 44 años,Mujer,5,2,101 - 200€,2,3,3,3.8,3.8,4.0,4.0,4.5,3.0,4.0,1
161,45 - 55 años,Mujer,5,5,30 - 60€,1,2,4,4.2,3.4,4.5,5.0,5.0,5.0,3.0,1
162,18 - 28 años,Mujer,3,3,30 - 60€,3,3,3,4.2,3.6,2.0,5.0,5.0,3.0,2.5,0
163,29 - 44 años,Mujer,4,4,61 - 100€,3,4,5,3.6,3.8,3.5,4.0,5.0,4.0,4.0,1
164,29 - 44 años,Mujer,3,4,30 - 60€,5,4,3,3.2,3.4,3.5,5.0,5.0,3.333333333333333,3.5,1
165,29 - 44 años,Hombre,3,4,61 - 100€,3,1,1,3.4,3.4,3.5,4.0,5.0,2.6666666666666665,2.0,0
166,18 - 28 años,Mujer,3,2,Menos de 30€,2,3,5,4.4,4.0,5.0,4.0,5.0,4.666666666666667,3.5,1
167,45 - 55 años,Mujer,3,2,30 - 60€,1,2,1,3.4,2.6,1.0,5.0,4.5,2.333333333333333,3.0,1
168,45 - 55 años,Mujer,4,3,61 - 100€,2,2,2,2.6,3.8,3.5,4.0,4.5,3.0,2.0,0
169,29 - 44 años,Mujer,3,5,Menos de 30€,2,2,1,1.2,1.2,1.5,3.0,2.5,2.0,1.0,0
170,29 - 44 años,Mujer,5,1,101 - 200€,1,2,1,1.6,2.2,1.5,5.0,5.0,1.0,2.0,0
171,29 - 44 años,Hombre,2,1,61 - 100€,3,2,2,2.8,1.8,3.5,5.0,4.0,3.333333333333333,4.0,1
172,18 - 28 años,Mujer,5,3,Menos de 30€,2,3,3,4.0,3.8,2.5,3.0,5.0,2.333333333333333,3.0,0
173,18 - 28 años,Mujer,3,4,30 - 60€,3,4,4,3.6,3.2,3.0,5.0,5.0,3.333333333333333,3.0,1
174,29 - 44 años,Mujer,3,3,61 - 100€,2,3,3,3.2,2.4,2.0,4.0,2.5,3.6666666666666665,3.0,1
175,18 - 28 años,Mujer,2,3,Menos de 30€,3,1,1,1.2,1.0,1.0,5.0,5.0,1.0,1.0,0
176,56 años o más,Mujer,5,5,Menos de 30€,1,1,1,1.0,2.0,1.5,5.0,2.5,1.0,1.0,0
177,18 - 28 años,Hombre,2,2,61 - 100€,5,3,3,4.0,3.0,2.5,5.0,5.0,4.333333333333333,1.5,1
178,29 - 44 años,Hombre,2,3,30 - 60€,2,2,1,3.6,2.6,1.0,5.0,4.5,2.0,1.0,0
179,18 - 28 años,Hombre,3,5,61 - 100€,4,2,1,3.8,3.2,3.0,5.0,5.0,3.0,3.0,1
180,18 - 28 años,Mujer,3,2,Menos de 30€,5,2,1,3.6,2.4,3.0,5.0,5.0,2.0,4.5,0
181,29 - 44 años,Mujer,4,2,Menos de 30€,2,3,3,3.6,3.0,4.0,4.0,4.0,4.0,3.5,1
182,18 - 28 años,Mujer,2,4,Menos de 30€,2,3,2,3.4,2.8,3.5,4.0,4.0,3.333333333333333,3.0,0
183,18 - 28 años,Mujer,2,2,Menos de 30€,4,2,2,2.2,2.0,2.5,5.0,4.0,1.3333333333333333,1.5,0
184,18 - 28 años,Mujer,4,4,30 - 60€,4,2,1,3.6,2.6,3.5,4.0,4.0,4.0,3.5,0
185,18 - 28 años,Hombre,4,4,30 - 60€,2,1,2,4.2,3.2,4.0,5.0,3.5,4.0,4.5,1
186,18 - 28 años,Hombre,2,2,30 - 60€,4,3,2,3.4,2.6,3.0,5.0,5.0,3.333333333333333,2.5,0
187,45 - 55 años,Mujer,4,5,Menos de 30€,2,2,2,2.4,2.6,3.0,5.0,4.0,2.0,3.0,1
188,29 - 44 años,Mujer,4,3,Menos de 30€,3,5,5,4.2,3.0,3.5,2.0,5.0,3.6666666666666665,1.0,1
189,29 - 44 años,Mujer,3,3,Menos de 30€,4,5,5,4.8,3.6,2.5,5.0,5.0,3.0,3.0,1
190,18 - 28 años,Mujer,3,2,Menos de 30€,4,3,4,4.2,2.8,4.0,4.0,5.0,4.0,1.5,0
191,29 - 44 años,Mujer,3,1,61 - 100€,3,3,3,3.8,2.0,2.5,5.0,4.0,3.333333333333333,1.5,0
192,18 - 28 años,Mujer,2,4,Menos de 30€,4,2,2,1.8,1.6,3.0,5.0,4.0,2.0,1.5,0
193,18 - 28 años,Hombre,2,4,Menos de 30€,2,1,1,2.0,2.4,1.0,5.0,5.0,1.0,1.0,0
194,18 - 28 años,Mujer,5,3,101 - 200€,3,4,4,4.2,4.4,4.5,4.0,5.0,3.6666666666666665,4.0,1
195,18 - 28 años,Mujer,4,5,Menos de 30€,4,3,2,5.0,3.8,3.5,5.0,5.0,3.6666666666666665,3.5,1
196,18 - 28 años,Mujer,3,2,Menos de 30€,4,2,2,3.2,2.2,3.0,5.0,5.0,3.0,1.0,0
197,18 - 28 años,Mujer,4,3,30 - 60€,4,5,4,3.2,2.6,2.5,4.0,5.0,3.0,2.0,1
198,45 - 55 años,Mujer,3,1,30 - 60€,2,1,1,2.0,1.8,2.0,5.0,4.0,2.333333333333333,2.5,0
199,29 - 44 años,Hombre,1,2,101 - 200€,2,1,1,3.0,2.6,3.0,3.0,4.0,3.333333333333333,4.0,0
200,56 años o más,Hombre,2,1,Menos de 30€,3,2,1,3.8,1.6,1.5,3.0,4.0,4.0,3.0,0
201,18 - 28 años,Mujer,3,2,Menos de 30€,2,3,2,4.0,2.2,2.5,5.0,5.0,3.333333333333333,2.5,0
202,29 - 44 años,Hombre,3,5,30 - 60€,2,2,2,3.0,2.8,3.0,4.0,5.0,3.333333333333333,2.5,0
203,18 - 28 años,Hombre,2,3,30 - 60€,2,2,1,4.2,3.4,4.5,5.0,5.0,4.333333333333333,4.0,1
204,18 - 28 años,Hombre,3,4,30 - 60€,4,3,3,4.2,3.4,3.0,2.0,3.5,3.333333333333333,3.5,1
205,18 - 28 años,Hombre,3,5,Menos de 30€,4,2,2,4.8,3.4,3.5,5.0,5.0,4.0,2.0,1
206,18 - 28 años,Hombre,3,5,101 - 200€,4,4,4,4.4,3.2,4.0,5.0,4.5,4.0,3.0,1
207,18 - 28 años,Mujer,1,5,30 - 60€,5,5,5,3.2,3.6,3.0,4.0,4.0,3.6666666666666665,4.0,0
208,18 - 28 años,Mujer,2,5,101 - 200€,5,5,5,3.8,4.2,4.5,5.0,5.0,4.666666666666667,5.0,1
209,45 - 55 años,Mujer,3,3,61 - 100€,1,1,1,1.8,2.0,2.0,5.0,3.0,2.0,2.5,0
210,18 - 28 años,Hombre,1,4,30 - 60€,5,2,2,3.8,3.4,4.0,3.0,5.0,3.6666666666666665,4.0,1
211,45 - 55 años,Hombre,3,5,30 - 60€,1,1,1,1.0,1.2,1.0,2.0,3.0,1.0,1.0,0
